NAME OF FACILITY,ADDRESS OF FACILITY,Parcel ID,STREET ADDRESS OF FACILITY,STREET OF FACILITY
RUGGIERO LOT,181 - 183 NORTH WASHINGTON ST,301474000,181 183,N WASHINGTON
WENDELL ST LOT A,WENDELL ST,304038000,,WENDELL
WENDELL ST LOT B,BATTERYMARCH ST,304037000,,BATTERYMARCH
ONE POST OFFICE SQUARE GARAGE,1 POST OFFICE SQUARE,304160000,43638,PEARL
5-15 CUSTOM HOUSE ST,5-15 CUSTOM HOUSE ST,303990444,80,BROAD
BROAD & WATER ST LOT,47-49 BROAD ST,303826000,49 47,BROAD
EXCHANGE PLACE,53 STATE ST,303870000,43 65,STATE
NEW POST OFFICE SQUARE GARAGE,130 Congress St.,304163000,130,CONGRESS
STATE STREET BANK BUILDING,225 FRANKLIN ST,304134000,209 245,FRANKLIN
JAMES HOOK & CO LOT,15-17 NORTHERN AVE,302958000,440 436,ATLANTIC
INTERNATIONAL HOTEL,500 - 520 ATLANTIC AVE,302953010,500,ATLANTIC
RUSSIA WHARF LOT,530 Atlantic Ave.,302952010,520 540,ATLANTIC
KEYSTONE BUILDING GARAGE,99 HIGH ST,304390000,73 101,HIGH
SHAWMUT BANK BUILDING,ONE FEDERAL ST,304668000,1,FEDERAL
50 MILK ST,50 MILK ST,303910000,50,MILK
WOOLWORTH GARAGE,350 Washington St.,304630010,350,WASHINGTON
45 PROVINCE ST,45 PROVINCE ST,304705284,45,PROVINCE
LAFAYETTE PLACE GARAGE,CHAUNCY ST,304500200,2,DE LAFAYETTE
ONE LINCOLN ST GARAGE,ONE LINCOLN ST,304246010,1,LINCOLN
BOSTON EDISON LOT,CHAUNCY ST,304520000,,CHAUNCY
WEST ST LOT,17-23 WEST ST,304816000,21 23,WEST
MASON ST LOT,30 MASON ST,304839010,,MASON
Hayward Place,564-580 WASHINGTON ST,304488000,580,WASHINGTON
MILLENIUM PLACE SOUTH,47 BOYLSTON ST,304870416,10,AVERY
ESSEX @ HARRISON LOT,33-37 ESSEX ST,304975000,33 -37,ESSEX
BEACH ST/EXETER ST GAR,84-96 BEACH ST,304334000,109 153,LINCOLN
EDINBORO @ PURCHASE ST LOT,22 EDINBORO ST,304421000,2 24,EDINBORO
TYLER ST LOT,17 TYLER ST,305268000,,TYLER
BEACH ST GARAGE,36 BEACH ST,304960000,40 14,BEACH
45 Stuart Street LLC,45 Stuart St,304910020,24 -58,LAGRANGE
STATE TRANSP BLDG GARAGE,10 PARK PLAZA,500010001,133 135,STUART
MOTOR MART GARAGE,201 Stuart St,500139000,201 241,STUART
W Boston Hotel,100 STUART ST,500075020,100,STUART
TREMONT HOUSE HOTEL LOT,267 TREMONT ST,500064000,,TREMONT
QUINCY ST GARAGE,885 Washington St.,305545000,885,WASHINGTON
57 HOTEL GARAGE,200 STUART ST,500135000,210 196,STUART
BILLY'S SERVICE LOT,222 STUART ST,500131000,222,STUART
PINSTRIPE AUTO PARK,130 ARLINGTON ST,500773000,,ARLINGTON
GENERAL TRADING CORPORATION,107 ARLINGTON ST,501137000,107 127,ARLINGTON
CORTES ST LOT,CORTES ST/ARLINGTON ST,501095000,,ARLINGTON
FIRE DEPT LOT ENG#22,174 COLUMBUS AVE,501110000,,ISABELLA
PAYETTE LOT,40 ISABELLA ST,501111010,40,ISABELLA
COLUMBUS AVE LOT,206 COLUMBUS AVE,501072000,,BERKELEY
366 STUART ST,STANHOPE ST,401133000,366,STUART
The Clarendon,400 STUART ST,401129118,400,STUART
MASS PIKE TOWERS LOT,366 Tremont St.,500270000,366 318,TREMONT
TREMONT ST LOT,290 TREMONT ST,305599030,290,TREMONT
NEMC GARAGE,274 TREMONT ST,305630000,284 274,TREMONT
NEMC SURFACE LOT,DORE ST,305655000,,WASHINGTON
BOSTON CHINESE EVANGELICAL CHURCH,249 HARRISON AVE,305494000,249,HARRISON
HOSPITAL LOT,148 HARRISON AVE,305095001,,HARRISON
CARLS PARK & GO,90 TYLER ST,305132000,90,TYLER
YMCA PARKING LOT,61 HUDSON ST,305243000,61,HUDSON
THE METROPOLITAN (PARCEL C),1 NASSAU STREET,305424028,1,NASSAU
60 South Street,201 Essex St,304300010,60,SOUTH
WASHINGTON ST LOT,821 WASHINGTON ST,305560010,821 831,WASHINGTON
PETER FANEUIL SCHOOL LOT,56 JOY ST,300154020,56,JOY
BOSTON FIRE DEPT LOT,200 CAMBRIDGE ST,300139000,,CAMBRIDGE
STANIFORD ST LOT,20 STANIFORD ST,300624000,20,STANIFORD
CHARLES RIVER PLAZA GARAGE,CAMBRIDGE ST,300660016,161 - 209,CAMBRIDGE
REGINA CLERI LOT,360 WILLIAM CARDINAL O'CONNELL WAY,300618000,60,WM CARD OCONNELL
AMBULATORY CARE LOT,27 N ANDERSON ST,300403000,27,N ANDERSON
PARKMAN ST GARAGE,269-273 CAMBRIDGE ST,300418001,261,CAMBRIDGE
FRUIT ST GARAGE,279-285 CAMBRIDGE ST,300427000,36 38,N GROVE
THE NEWBRY,501 BOYLSTON STREET,501296000,485 519,BOYLSTON
MASS EYE & EAR STORROW LOT,STORROW DRIVE WB,300943000,,LEVERETT
MASS EYE & EAR CHARLES ST LOT,220 CHARLES ST,300943000,,LEVERETT
CHARLES ST GARAGE,144 CHARLES ST,502444000,144 -162,CHARLES
CAMBRIDGE ST LOT,350 CAMBRIDGE ST,502273000,,CAMBRIDGE
BOSTON COMMON GARAGE,0 CHARLES ST,500812001,,CHARLES
ARLINGTON ST CHURCH,20 ARLINGTON ST,501227000,20,ARLINGTON
FIRST LUTHERAN CHURCH,299 BERKELEY ST,502838000,299,BERKELEY
FIRST & SECOND CHURCH,60 MARLBOROUGH ST,502873000,64,MARLBOROUGH
LOUIS BOSTON,60 NEWBURY ST,501295000,463,BOYLSTON
JOHN HANCOCK GARAGE,100 CLARENDON ST,401134000,200,CLARENDON
NEWBURY ST LOT,200 NEWBURY ST,503201000,200,NEWBURY
264 BEACON ST LOT,264 BEACON,"0502639000, 0502638000, 0502637000",262 266,BEACON
330 BEACON ST,330 BEACON ST,503289000,324 332,BEACON
SUNOCO GAS STATION,801 BOYLSTON ST,503128000,801 807,BOYLSTON
NEW ENGLAND COLLEGE OF OPTOM,424 BEACON ST,503509000,,BEACON
DANKER & DONAHUE GARAGE,341 NEWBURY ST,503008000,341,NEWBURY
MBTA,959 BOYLSTON,503066000,959,BOYLSTON
BOSTON FIRE DEPT LOT,941 BOYLSTON,503064000,941 943,BOYLSTON
TENNIS & RACKET CLUB,939 BOYLSTON ST-PUB ALLEY 443,503105000,927 939,BOYLSTON
AUDITORIUM GARAGE,50 DALTON ST,401336000,50,DALTON
BACK BAY HILTON,40 Dalton,401327000,40,DALTON
PRUDENTIAL CENTER GARAGE,800 Boylston,401037100,800,BOYLSTON
CHRISTIAN SCIENCE GARAGE,101 BELVIDERE ST,401150001,101 -111,BELVIDERE
MIDTOWN MOTOR INN GARAGE,200 Huntington,402304000,220 200,HUNTINGTON
GREENHOUSE APT GARAGE,156-186 HUNTINGTON AVE,400864000,150,HUNTINGTON
COLONNADE HOTEL GARAGE,118-120 HUNTINGTON AVE,400905010,118,HUNTINGTON
ATELIER 505 GARAGE,515 TREMONT ST,500818000,527,TREMONT
WESTIN HOTEL GARAGE,10 HUNTINGTON AVE,401067000,10,HUNTINGTON
COPLEY PLACE GARAGE,100 Huntington,400985208,100,HUNTINGTON
MARRIOT HOTEL PARKING GARAGE,110 HUNTINGTON AVE,400985208,100,HUNTINGTON
131 DARTMOUTH ST,131 DARTMOUTH ST,400572000,131,DARTMOUTH
MBTA,145 DARTMOUTH ST,400575000,145,DARTMOUTH
BERKELEY ST LOT,57-75 BERKELEY ST,"0500698000, 0500699000, 0500700000, 0500701000, 0500702000",57 75,BERKELEY
CHANDLER ST LOT,425 Tremont,500692000,425,TREMONT
ANIMAL RESCUE LEAGUE,9 APPLETON ST,500696000,,APPLETON
JOHN J HURLEY SCHOOL,W SPRINGFIELD ST,900694000,70 42,WORCESTER
PELHAM ST LOT,1421 Washington,306979000,1421 1431,WASHINGTON
STANHOPE LOT,80 E Berkeley St,306146000,,E BERKELEY
BOSTON AUTO EXCHANGE,1115 WASHINGTON ST,306145000,1115,WASHINGTON
NEW ENGLAND MEDICAL CENTER,367-375 HARRISON AVE,306264000,375,HARRISON
170 SHAWMUT LOT,340 WASHINGTON ST,306160000,170,SHAWMUT
TEREDYNE LOT,50 Herald,306185000,50,HERALD
BOSTON CHINESE EVANGELICAL CHURCH,120 SHAWMUT AVE,306175000,120,SHAWMUT
110 SHAWMUT AVE LOT,110 SHAWMUT AVE,306180000,100 112,SHAWMUT
E BERKELEY ST LOT,160 E BERKELEY ST,306266000,160,E BERKELEY
LACONIA LOFTS LOT,2-98 PERRY ST,306431000,,LACONIA
BCH LOT,818 HARRISON AVE,801420010,818,HARRISON
BUMC LOT,778 Harrison,801403002,778,HARRISON
BUMC LOT DOCTORS OFFICE LOT,720 Harrison Ave.,801243000,720,HARRISON
BUMC GARAGE DOCTORS OFFICE BLD,720 HARRISON AVE,801254000,73 -79,E BROOKLINE
DUPONT LOT C,120 E DEDHAM ST,801154010,549,ALBANY
US POSTAL ANNEX,25 DORCHESTER AVE,305365000,25 45,DORCHESTER
HANCOCK PAINT SUPPLY LOT,38 WAREHAM ST,801109000,30 44,WAREHAM
HOLY CROSS LOT,600 Harrison Ave,801103000,50,MALDEN
MBTA LOT C,510 HARRISON AVE,306509010,536 550,HARRISON
MBTA LOT C,439 ALBANY,306509000,439,ALBANY
SAM STONE LOT,484 HARRISON AVE,306539000,466 474,HARRISON
SOWA NORTH,65 101 PAUL SULLIVAN WAY,306539000,65 101,PAUL SULLIVAN
TAI TUNG VILLAGE PARKING,210-262 HARRISON AVE,305021000,210 262,HARRISON
THE QUIN,380 HARRISON AVE,306570000,370 380,HARRISON
SOMERFIELD LOT,33 TRAVELER ST,306576000,,TRAVELER
F W WEBB LOT,225 Albany St,306730000,237-241,ALBANY
EMERGENCY RESPONSE SERVICE,480 ALBANY ST,801048010,480,ALBANY
THE FLOWER MART LOT,540 ALBANY ST,801055000,540,ALBANY
B C H LOT,750 ALBANY ST,801067020,750,ALBANY
BCH/MAIN EMPLOYEE LOT,ALBANY ST,801030030,,MASSACHUSETTS AV
BPHC Lot,774 ALBANY ST,"0801067010, 0801067015",774,ALBANY
HERALD ST GARAGE,120 HERALD ST,500515000,120,HERALD
99 SUMMER ST GARAGE,99 SUMMER ST,304582000,18 16,KINGSTON
125 SUMMER ST GARAGE,125 SUMMER ST,304256000,125,SUMMER
150 FEDERAL ST GARAGE,150-160 FEDERAL ST,304408000,100,HIGH
PAINE WEBBER BUILDING,265 FRANKLIN ST,304035000,265,FRANKLIN
FRANKLIN ST GARAGE,260 FRANKLIN ST,304023000,260,FRANKLIN
INTERNATIONAL PLACE,International Place,304060010,90,OLIVER
MARKETPLACE CENTER GARAGE,200 STATE ST,303790000,200,STATE
75 STATE ST GARAGE,75 STATE ST,303860000,75,STATE
1 FINANCIAL CENTER GARAGE,1 FINANCIAL CTR,304285000,655,ATLANTIC
ROWES WHARF GARAGE - PUBLIC,10-30 ROWES WHARF,302961000,350,ATLANTIC
COMMERCIAL @ CLARK LOT,280-292 COMMERCIAL ST,303525000,280 290,COMMERCIAL
TIP O'NEIL BLDG GARAGE,CAUSEWAY ST,301920000,10,CAUSEWAY
LOVEJOY PLACE LOT,LOVEJOY PLACE,303061010,,CAUSEWAY
HERITAGE ON THE GARDEN GARAGE,300 BOYLSTON ST,501170000,300,BOYLSTON
THE FOUR SEASONS HOTEL GARAGE,200-220 BOYLSTON ST,501185000,220 200,BOYLSTON
N E LIFE BLDG GARAGE,500 BOYLSTON ST,401092000,500,BOYLSTON
SOUTH COVE MANOR LOT,120 SHAWMUT AVE,306175000,120,SHAWMUT
DARTMOUTH ST GARAGE,128 DARTMOUTH ST/TENT CITY,400600040,100 128,DARTMOUTH
PINE ST INN LOT,ALBANY @ E BERKELEY,306560000,32 60,PAUL SULLIVAN
BWSC LOT,MALDEN ST,801093010,120,MALDEN
MSPCC LOT,80 WAREHAM ST,801106020,90,WAREHAM
FEDERAL PLACE LOT,FEDERAL PLACE,304220000,100,SUMMER
73 TREMONT GARAGE,73 TREMONT,304675000,4,BEACON
125 HIGH ST GARAGE,125 HIGH ST,304102000,125 145,HIGH
20 CUSTOM HOUSE ST,20 CUSTOM HOUSE ST,303998000,54 62,BROAD
STATE HOUSE GARAGE,BOWDOIN @ DERNE ST,501615000,24,BEACON
SOUTH STATION EMPLOYEE LOT,1 SOUTH STATION,305364400,640 720,ATLANTIC
BOSTON HIGH SCHOOL LOT,ARLINGTON ST,500746000,,FAYETTE
745 ATLANTIC AVE GARAGE,745 ATLANTIC AVE,305355000,745,ATLANTIC
101 MERRIMAC ST GARAGE,101 MERRIMAC ST,301675000,,PORTLAND
DUPONT LOT A,E DEDHAM ST,801153010,,E DEDHAM
Nstar Lot,88 Warrenton Street,500081000,,WARRENTON
FEDERAL RESERVE BANK,556 ATLANTIC AVE,304340100,,ATLANTIC
STILLMAN @ N WASHINGTON LOT,STILLMAN ST,302528000,,STILLMAN
DON BOSCO PARKING LOT,300 TREMONT ST,305560010,821 831,WASHINGTON
COMMERCIAL WEST,COMMERCIAL WHARF WEST LOT,303028610,,ATLANTIC
NORTH END COMMUNITY NURSING HM,70 FULTON ST,303465000,70,FULTON
SUFFOLK COUNTY JAIL LOT,NASHUA ST,301934200,,NASHUA
SHERIFF PARKING LOT,NASHUA ST,301934200,,NASHUA
101 FEDERAL ST GARAGE,101 FEDERAL ST,304199000,101,FEDERAL
TIP O'NEIL FEDERAL BLDG LOT,10 CAUSEWAY ST,301920000,10,CAUSEWAY
PORTLAND ST LOT,151-155 PORTLAND ST,301645000,,PORTLAND
YWCA LOT,CLARENDON ST,401085000,410,STUART
TEREDYNE GARAGE,321 HARRISON AVE + HERALD ST,306234010,321,HARRISON
11-17 KINGSTON ST LOT,55 SUMMER ST & 11-17 KINGSTON ST,304560000,20 4,CHAUNCY
116 HUNTINGTON GARAGE,116 HUNTINGTON AVE,401013010,116,HUNTINGTON
19-21 CUSTOM HOUSE ST GARAGE,21 CUSTOM HOUSE ST,303988000,19 21,CUSTOM HOUSE
WANG BUILDING LOT,191 KNEELAND ST,305363100,185,KNEELAND
MBTA NORTH STATION/ BANK NORTH GARDEN,80 CAUSEWAY ST,301911035,100,LEGENDS
101 ARCH STREET,93 - 101 ARCH ST,304597000,101 93,ARCH
470 ATLANTIC AVENUE,470 ATLANTIC AVE,302956000,474 466,ATLANTIC
100 CHAUNCY STREET,Essex & Lafayette,304513000,,AVENUE DE LAFAYETTE
ST BOTOLPH'S ASSISTED LIVING CTR,352 - 374 MASSACHUSETTS AVE,801106010,519,ALBANY
SUFFOLK UNIVERSITY SCHOOL OF LAW,110 - 120 TREMONT ST,304758010,110,TREMONT
LIBERTY PLACE,646 - 670 WASHINGTON ST,304965010,660,WASHINGTON
100 SUMMER ST,100 SUMMER ST,304220000,100,SUMMER
NSTAR SERVICES LOT,67 - 93 KINGSTON ST/ 82 ESSEX ST,304520000,,CHAUNCY
CANAL STREET LOT,120-126 CANAL STREET,301608000,,CANAL
700 HARRISON AVENUE,700 HARRISON AVE,801212000,700,HARRISON
YAWKEY CTR GARAGE/ CHARLES ST JAIL HOTEL,239 CHARLES ST/ FRUIT ST,300445000,32 239,FRUIT
179 Lincoln Street,179 LINCOLN STREET,305332000,179,LINCOLN
Millennium Tower/Burnham Building,1 Franklin Street and 10 Summer Street,304586010,,HAWLEY
South Station Air Rights Project,640-720 Atlantic Ave.,305364400,,ATLANTIC
Jerusalem,Jerusalem Place,301344000,,JERUSALEM
Merano,175 Causeway St.,301523035,101,BEVERLY
,185 Franklin St.,304176014,185,FRANKLIN
Hancock Tower,200 Clarendon Street,401134000,200,CLARENDON
Green Charge and Park,150 Friend Street,301628000,158 150,FRIEND
Liberty Mutual,157 Berkeley Street,501147000,147 153,COLUMBUS
Parcel 24,99 Kneeland St,304980010,99,KNEELAND
Ink Block South End,300 Harrison Ave,306625000,300,HARRISON
100 State Street Condominium,100 State St,303740000,,CHATHAM
One Canal Street,1 Canal St,301560010,1,CANAL
BIOSQUARE,710 ALBANY ST,801066055,710,ALBANY
BIOSQUARE II,600-610 ALBANY ST,801030020,610,ALBANY
Biosquare Parcel E,Behind 650 Albany St,801066250,,ALBANY
MassDOT Mobility Hub,Albany Street and Frontage Road,801039002,,W FOURTH ST
Boston Garden Expansion,100 Legends Way,301925100,,NASHUA
South End Hotel,223 and 241 Albany St,306625000,300,HARRISON
,399 Boylston St,501230000,399,BOYLSTON
660 Harrison,660 Harrison Ave,801188050,660,HARRISON
The Factory at 46 Wareham Street,46 Wareham St,801108000,46,WAREHAM
The Onyx Hotel,169 Portland St,301648000,169 171,PORTLAND
Winthrop Tower,115 Federal Street,304225000,115,FEDERAL
128-130 Newbury St,128-130 Newbury St,501319000,128 130,NEWBURY
324 Albany Street,324 Albany Street,306533000,65 101,PAUL SULLIVAN
Leman Place,Leman Place,304046000,,HIGH ST
Jacques,79 Broadway Street,500171000,8 6,PIEDMONT ST
Teddy Ebersol Fields,LEVERETT ST,300943000,,LEVERETT ST
Boston Commons Parks Yard,BEACON ST,500812004,,BEACON ST
Public Garden,ARLINGTON ST,501259000,,ARLINGTON ST
Trinity Church,206 CLARENDON ST,401091000,206,CLARENDON ST
Shriners Hospital for Children,51 Blossom Street,300600000,51,BLOSSOM
Dunkin Donuts,618 Massachusetts Avenue,900863000,616 620,MASSACHUSETTS AV
Marriott Vacation Club,3 McKinley Sq,303822010,60 74,TREMONT
13 N Hanover Ct Parking,350 NORTH ST,303135133,350,NORTH ST
100 Fulton Court,100 FULTON ST,303478134,81,RICHMOND ST
Affiliated Family Funeral,580 COMMERCIAL ST,301943000,,COMMERCIAL
Bostonian Hotel,CREEK SQUARE,303343000,,CREEK SQ
PIEDMONT PARKING,44 PIEDMONT,500804000,,PIEDMONT ST
65-69 Atlantic Ave,65 69 ATLANTIC AV,303548000,65 69,ATLANTIC
STOUGHTON ST LOT,44 50 STOUGHTON ST,801415000,,ALBANY
Boston Medical Center,732 HARRISON AVE,801301000,,E NEWTON
443 ALBANY,443 ALBANY ST,306510000,443,ALBANY
BRENTON CLOTHING,E BERKELEY ST,306578000,,E BERKELEY
76 Canal St,165 Friend St,301615000,,CHAPEL
Bay Cove Human Services,165 Friend St,301617000,,CHAPEL
KINGSTON @ PURCHASE ST LOT,130 KINGSTON ST,304431000,85 91,ESSEX
